阿姨;āyí;aunt or maid
向 ;xiàng;towards
;;
像;xiàng;as or like
;;
小;xiǎo;small
;;
小姐;xiǎojiě;Miss
小时 ;xiǎoshí;hour
小心;xiǎoxīn;to be careful
;;
校长;xiàozhǎng;head of a school
笑;xiào;to listen
;;
些;xiē;some
;;
鞋;xié;shoe
写;xiě ;to write
;;
谢谢;xièxie;thanks
;;
新;xīn;new
;;
新闻;xīnwén;news
新鲜;xīnxiān;fresh
;;
信;xìn;letter
星期  ;xīngqī;week
行李箱;xínglǐxiāng;suitcase
兴趣;xìngqù;interest
姓;xìng;to be surnamed
;;
熊猫;xióngmāo;panda
休息;xiūxi;to rest
;;
需要;xūyào;to need
;;
选择;xuǎnzé;to choose
;;
学生;xuésheng ;student
学习;xuéxí ;to learn
;;
学校;xuéxiào;school
;;
雪;xuě;snow
颜色;yánsè;color
眼睛;yǎnjīng;eye
眼镜;yǎnjìng;glasses
羊肉;yángròu;lamb or mutton
药;yào;medicine
要;yào;to want
;;
要求;yāoqiú;to require
;;
爷爷;yéye;grandpa
也;yě;also
;;
一;yī;one
一般;yìbān;generally
;;
一边;yìbiān;at the same time
;;
一定;yídìng;definitely
;;
一共;yígòng;altogether
;;
一会儿;yíhuìr;a short while
一起  ;yìqǐ;together
;;
一样;yíyàng;same
;;
一直;yìzhí;constantly
;;
衣服;yīfu;clothes
医生;yīshēng;doctor
医院;yīyuàn;hospital
;;
已经 ;yǐjīng;already
;;
以后;yǐhòu;after, later
以前;yǐqián;before, ago
以为;yǐwéi;to think (wrongly)
;;
椅子;yǐzi;chair
意思;yìsi;meaning
因为;yīnwèi;because
;;
阴;yīn;cloudy
;;
音乐;yīnyuè;music
银行;yínháng;bank
;;
应该;yīnggāi;should
;;
影响;yǐngxiǎng;to affect
;;
用;yòng;to use
;;
游戏;yóuxì;game
游泳;yóu yǒng;to swim
;;
有;yǒu;to have
;;
有名;yǒumíng;famous
;;
又;yòu;again
;;
右边;yòubiān;right
;;
鱼;yú;fish
遇到;yùdào;to meet
;;
元;yuán;basic monetary unit of China
;;
远;yuǎn;far
;;
愿意;yuànyì;to be willing to
;;
月;yuè;month
月亮;yuèliang;moon
越;yuè;more
;;
云;yún;cloud
运动;yùndòng;to do sports
;;
再  ;zài;again
;;
再见;zàijiàn;goodbye
;;
在;zài;to be in
;;
早上;zǎoshàng;early morning
怎么;zěnme;how
怎么样;zěnmeyàng ;how about
站;zhàn;to stand
;;
张;zhāng;counter for flat objects (paper, face…)
;;
长;zhǎng;to grow
;;
长;cháng;long
;;
丈夫;zhàngfu;husband
找;zhǎo;to find
;;
照顾;zhàogù;to look after
;;
照片;zhàopiàn;photo
照相机;zhàoxiàngjī;camera
这/这儿;zhè/zhèr;this/here
着;zhe;aspect particle
;;
着急;zháojí;to worry
;;
真;zhēn;really
;;
正在;zhèngzài;indicating action in progress
;;
知道;zhīdao;to know
;;
只;zhǐ;only
;;
中国;Zhōngguó;China
;;
中间;zhōngjiān;middle
;;
中午;zhōngwǔ;noon
终于;zhōngyú;finally
;;
种;zhǒng;type
;;
重要;zhòngyào;important
;;
周末;zhōumò;weekend
主要;zhǔyào;main
;;
住;zhù;to live or to stay
;;
注意;zhùyì;to pay attention to
;;
祝;zhù;to wish
;;
准备.;zhǔnbèi;to prepare
;;
桌子;zhuōzi ;table or desk
字;zì ;character
字典;zìdiǎn;dictionary
自己;zìjǐ;oneself
自行车;zìxíngchē;bike
总是;zǒngshì;always
;;
走;zǒu;to walk
;;
最;zuì;most
;;
最近;zuìjìn;recent time
昨天;zuótiān;yesterday
左边;zuǒbiān;left
;;
作业;zuòyè;homework
作用;zuòyòng;effect
坐;zuò;to sit
;;
做;zuò;to do
;;
