彗;ほうき, スイ, エ, ケイ, セイ;comet
謄;トウ;mimeograph, copy
梓;あずさ, シ;catalpa tree
丑;うし, チュウ;sign of the ox or cow, 1-3AM, second sign of Chinese zodiac
嗣;シ;heir, succeed
叶;かな.える, かな.う, キョウ;grant, answer
汐;しお, うしお, せい, セキ;eventide, tide, salt water, opportunity
絢;ケン;kimono design
朔;ついたち, サク;conjunction (astronomy), first day of month
伽;とぎ, カ, ガ, キャ, ギャ;nursing, attending, entertainer
畝;せ, うね, ボウ, ホ, モ, ム;furrow, 30 tsubo, ridge, rib
抄;ショウ;extract, selection, summary, copy, spread thin
爽;あき.らか, さわ.やか, たがう, ソウ;refreshing, bracing, resonant, sweet, clear
黎;くろ.い, レイ, リ;dark, black, many
惰;ダ;lazy, laziness
蛮;えびす, バン;barbarian
冴;さ.える, こお.る, ひ.える, ゴ, コ;be clear, serene, cold, skilful
旺;かがや.き, うつくし.い, さかん, オウ, キョウ, ゴウ;flourishing, successful, beautiful, vigorous
萌;も.える, きざ.す, めばえ, きざ.し, ホウ;show symptoms of, sprout, bud, malt
偲;しの.ぶ, サイ, シ;recollect, remember
壱;ひとつ, イチ, イツ;I, one
瑠;ル, リュウ;lapis lazuli
允;じょう, まこと.に, ゆるす, イン;license, sincerity, permit
侯;コウ;marquis, lord, daimyo
蒔;う.える, まく, シ, ジ;sow (seeds)
鯉;こい, リ;carp
弧;コ;arc, arch, bow
遥;はる.か, ヨウ;far off, distant, long ago
矩;かね, かねざし, さしがね, ク;ruler, carpenter's square
舜;シュン;type of morning glory, rose of Sharon, althea
瑛;エイ;sparkle of jewelry, crystal
附;つ.ける, つ.く, フ;affixed, attach, refer to, append
彪;あや, ヒョウ, ヒュウ;spotted, mottled, patterned, small tiger
卯;う, ボウ, モウ;sign of the hare or rabbit, 5-7AM, fourth sign of Chinese zodiac, east
但;ただ.し, タン;however, but
綺;あや, キ;figured cloth, beautiful
茜;あかね, セン;madder, red dye, Turkey red
凌;しの.ぐ, リョウ;endure, keep (rain)out, stave off, tide over, defy, slight, surpass
皓;しろ.い, ひか.る, コウ;white, clear
洸;コウ;sparkling water
毬;いが, まり, キュウ;burr, ball
婆;ばば, ばあ, バ;old woman, grandma, wet nurse
緋;あけ, あか, ヒ;scarlet, cardinal
鯛;たい, チョウ;sea bream, red snapper
怜;あわ.れむ, さと.い, レイ, レン, リョウ;wise
邑;うれ.える, くに, むら, ユウ;village, rural community, right village radical (no. 163)
倣;なら.う, ホウ;emulate, imitate
碧;ヘキ, ヒャク;blue, green
啄;ついば.む, つつ.く, タク, ツク, トク;peck, pick up
穣;わら, ゆたか, ジョウ;good crops, prosperity, 10**28
酉;とり, ユウ;west, bird, sign of the bird, 5-7PM, tenth sign of Chinese zodiac, sake radical (no. 164)
悌;テイ, ダイ;serving our elders
倹;つま.しい, つづまやか, ケン;frugal, economy, thrifty
柚;ゆず, ユ, ユウ, ジク;citron
繭;まゆ, きぬ, ケン;cocoon
且;か.つ, ショ, ソ, ショウ;moreover, also, furthermore
丙;ひのえ, ヘイ;third class, 3rd, 3rd calendar sign
丞;すく.う, たす.ける, ジョウ, ショウ;help
